Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.13    134.134     8.749     0.000   125.384  4056810   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start 
  0.13   2068.745     8.717     0.000  2060.028  2028402   ActiveRecord::ConnectionAdapters::QueryCache#select_all 
  0.13      8.693     8.693     0.000     0.000  4056362   ActiveRecord::QueryMethods#from_value= 
  0.13   2060.028     8.676     0.000  2051.352  2028402   ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all 
  0.13      8.491     8.491     0.000     0.000  6114671   String#initialize 
  0.13     15.676     8.427     0.000     7.249  2596261   ActiveRecord::Scoping::ScopeRegistry#value_for 
  0.13     10.286     8.408     0.000     1.878  4085243   Arel::Visitors::ToSql#quote_column_name 
  0.13     10.621     8.394     0.000     2.227  2000506   Kernel#Array 
  0.13    224.081     8.388     0.000   215.693  2028402   ActiveSupport::LogSubscriber#debug 
  0.13      8.369     8.369     0.000     0.000  2999246   ActiveRecord::Reflection::AssociationReflection#association_class 
  0.13     11.302     8.350     0.000     2.952  2028402   Arel::Nodes::And#initialize 
  0.13     13.089     8.340     0.000     4.749  4056362   ActiveRecord::Relation::Merger#merge_joins 
  0.13      8.337     8.337     0.000     0.000  4056362   ActiveRecord::QueryMethods#lock_value= 
  0.13     48.449     8.322     0.000    40.126  2000476   ActiveRecord::Associations::AliasTracker#aliased_table_for 
  0.13      8.189     8.189     0.000     0.000  4056362   ActiveRecord::QueryMethods#reverse_order_value= 
  0.13    563.498     8.144     0.000   555.354  2028402   ActiveRecord::Result#each 
  0.12     13.396     8.092     0.000     5.305  4056362   ActiveRecord::Relation#values 
  0.12    580.406     8.073     0.000   572.333  2028405   ActiveSupport::LogSubscriber#finish 
  0.12     46.166     7.986     0.000    38.179  4002862  *Arel::Visitors::ToSql#visit_Arel_Nodes_Limit 
  0.12    190.215     7.934     0.000   182.280  2218667   ActiveRecord::Scoping::Named::ClassMethods#all 
  0.12      7.920     7.920     0.000     0.000  5047792   ActiveRecord::Associations#association_instance_get 
  0.12     19.493     7.902     0.000    11.591  2027447   ActiveRecord::AssociationRelation#initialize 
  0.12     12.097     7.900     0.000     4.197  4514824   Set#include? 
  0.12     14.895     7.815     0.000     7.080  2028405   Time#minus_without_duration 
  0.12    678.882     7.769     0.000   671.113  2028402   Arel::Visitors::BindVisitor#accept 
  0.12      7.649     7.649     0.000     0.000  8168596   Array#first 
  0.12      7.605     7.605     0.000     0.000  4056804   ActiveRecord::QueryMethods#eager_load_values 
  0.12    523.388     7.538     0.000   515.850  2028402   Arel::Visitors::MySQL#visit_Arel_Nodes_SelectCore 
  0.12      8.552     7.498     0.000     1.054  6085206   Array#uniq 
  0.11     30.067     7.476     0.000    22.591  2142158   Array#hash 
  0.11    635.819     7.466     0.000   628.353  2028402   Arel::Visitors::MySQL#visit_Arel_Nodes_SelectStatement 
  0.11      7.457     7.457     0.000     0.000  6000402   ActiveSupport::Callbacks::CallbackChain#empty? 
  0.11      7.436     7.436     0.000     0.000  6000412   Kernel#instance_variable_defined? 
  0.11    175.997     7.407     0.000   168.591  1997540   ActiveRecord::Associations::BelongsToAssociation#find_target? 
  0.11     95.172     7.251     0.000    87.922  1997540   ActiveRecord::Associations::BelongsToAssociation#foreign_key_present? 
  0.11    123.769     7.174     0.000   116.595  2028405   ActiveSupport::LogSubscriber#start 
  0.11      7.172     7.172     0.000     0.000  8495621   Kernel#respond_to_missing? 
  0.11      7.118     7.118     0.000     0.000  3000201   Class#allocate 
  0.11     18.283     7.102     0.000    11.181  2000476   ActiveRecord::Associations::AssociationScope#table_name_for 
  0.11     26.466     7.090     0.000    19.376  2028402   Arel::SelectManager#project 
  0.11    113.980     7.032     0.000   106.949  2001431   ActiveRecord::Delegation#connection 
  0.11      7.002     7.002     0.000     0.000   998770   Module#included_modules 
  0.11      8.537     6.996     0.000     1.542  2028402   Arel::TreeManager#where 
  0.11     23.154     6.972     0.000    16.181  3999484   ActiveRecord::Reflection::AssociationReflection#inverse_of 
  0.11     23.097     6.929     0.000    16.167  3998016   ActiveRecord::Reflection::AssociationReflection#has_inverse? 
  0.11     58.735     6.926     0.000    51.809  2001944   ActiveRecord::Associations::AssociationScope#bind 
  0.11     64.694     6.886     0.000    57.808  2000476   ActiveRecord::Scoping::Default::ClassMethods#unscoped 
  0.10      6.757     6.757     0.000     0.000  4998254   ActiveRecord::Associations::Association#reset_scope 
  0.10      6.710     6.710     0.000     0.000  4000952   ActiveRecord::QueryMethods#extending_values 
  0.10     63.707     6.661     0.000    57.046  2001431   ActiveRecord::QueryMethods#limit 
  0.10     68.576     6.638     0.000    61.937  2050014   ActiveRecord::Associations::Association#stale_target? 
  0.10     27.210     6.629     0.000    20.581  2028405   Time#minus_with_duration 
  0.10      6.624     6.624     0.000     0.000  8059827   Symbol#== 
  0.10      9.940     6.623     0.000     3.317  2001944   ActiveRecord::Associations::AssociationScope#column_for 
  0.10   3650.852     6.579     0.000  3644.274  2028402   ActiveRecord::Relation#load 
  0.10    570.446     6.576     0.000   563.870  2057797   Enumerable#map 
  0.10     29.685     6.544     0.000    23.142  3998016   ActiveRecord::Associations::Association#inverse_reflection_for 
  0.10      6.531     6.531     0.000     0.000  2973856   Module#to_s 
  0.10     22.228     6.482     0.000    15.746  2028402   ActiveSupport::TaggedLogging::Formatter#tags_text 
  0.10   6024.701     6.454     0.000  6018.247    26972   Array#select 
  0.10      6.375     6.375     0.000     0.000  4029833   ActiveRecord::QueryMethods#limit_value 
  0.10   3458.007     6.374     0.000  3451.632  2001431   ActiveRecord::FinderMethods#take 
  0.10      6.339     6.339     0.000     0.000  2028405   Hash#merge! 
  0.10     10.631     6.336     0.000     4.295  6057282  *ActiveRecord::Reflection::ClassMethods#reflect_on_association 
  0.10      6.206     6.206     0.000     0.000  2999246   ActiveRecord::Associations#association_instance_set 
